listing_id,id,date,reviewer_id,reviewer_name,comments
34283811,563042535,2019-11-11,64422953,Latisha,"Mitzi’s place is so AWESOME and she is a great host!! The home is beautiful, spotless and has all the amenities you'll ever need!! We loved that there is a driveway, easy keyless entry, safe and lovely neighborhood and very close to good eats, shopping and the highway to get around Denver. The beds are super comfortable and the closets are stocked with essentials and more, the fridge and cupboards are also filled with staples and the laundry room was also loaded with all you need to enjoy your stay. The backyard and patio is also great to enjoy too!! We felt at home there and would recommend. We would definitely stay again when in Denver!!"
28316749,368346030,2019-01-06,230355204,Dustin,"We really enjoyed staying here. Great location, close to everything. Comfortably slept our entire party of 15. Andrew was a great host and quick to respond."
4909321,73216678,2016-05-07,8332410,Ben,Rebecca and her family were very hospitable and great overall hosts! The house is in a good location and the room was really comfortable. Many thanks to you Rebecca for hosting me!
875596,4841584,2013-05-28,6213025,Mari,"Great house, very well located.  Clean and quiet."
15766497,142924541,2017-04-09,57826718,Mackenzie,"This place is located in a great, fun area! You're a quick walk or short drive from Coors Field and downtown. The light rail is a block away and the neighborhood has yummy restaurants! Jacob was a great host and very accommodating! I would definitely stay there again!"
8969110,107952723,2016-10-13,97816336,Michael,"Great location, near a lot to do within walking distance, very close to downtown.  Laura was very accommodating, extremely easy to get in touch with.  10/10 would stay again and recommend to anyone."
37935073,527802363,2019-09-11,274079271,Tyler,Amazing space... great bed and bathroom
2257217,29078335,2015-04-03,12914219,Clara,Beth was extremely  nice and made it possible for us to check in earlier. Thanks again! The room was very cosy as well. 
39435071,564401662,2019-11-15,4856415,Brock,Great place with a great view
21080559,309140984,2018-08-17,16902877,Rachael,"Easy entry, easy check out. The noise from upstairs carries a bit into the basement, but otherwise nice place to stay."
37183949,563039377,2019-11-11,121520718,Sjmoya,"Bobby & Julie’s place is an amazing place to stay! When we checked in, we were amazed at the cleanliness of the entire space! It is very spacious and can easily accommodate 4 people as listed. Check in instructions were provided and responses were always fast from the hosts. We requested a later check out and they were more than willing to help with that. Before checking out, we had to try the burritos that were in the freezer for breakfast and they were delicious and a nice little touch. Would definitely stay here again!"
18501879,547265473,2019-10-14,261444043,Greg,Great stay with a great host. In a nice neighborhood. Very clean and just a short drive to downtown. Would definitely stay here again.
17387231,179089668,2017-08-06,20780880,Sarah,Great value in a cute area. 
26453227,324273399,2018-09-16,144091786,Patrice,Great back yard.
19988833,213526285,2017-11-21,120430641,Karen,"Clean, convenient and comfortable!"
21297522,302456461,2018-08-05,35557069,Mimi,The Home was just what we were looking for with a big group and  reasonable priced. The house is nice and was exactly what we expected. We had a great stay!  
8954951,232336809,2018-02-04,50338319,Vanessa,So glad we chose this place! Plenty of room for our group of 6. It was within walking distance of bars and restaurants and short drives to other places in Denver. Ena answered any of our questions so quickly. Definitely would stay here again!
14932614,143190426,2017-04-10,9194651,Kelli,"Everything was great! Joseph was a great host; very nice, stayed in communication, and even had some food items there for us which made things just that more comfortable. It's a small house, but everything you need is there and the bed was super comfy. "
27432643,432096914,2019-04-02,6411227,Amanda,Excellent location and very cute place. Perfect for a trip to Denver. The bathroom is on the small side but overall the place is spacious and very nice. Would definitely stay there again.
7843605,438010015,2019-04-15,249965022,Christopher,"Place was great, clean and accommodating only problem was water draining can be loud"
21816001,295045044,2018-07-22,161526297,Jonathan,Great location. it's a good place for two people that are going to be out and about and just need a place to sleep. 
17498473,202303280,2017-10-10,54374165,Henry,"This is the perfect space for a solo traveler or couple. My girlfriend and I stayed the first week of October. Rafer and Channing were very prompt in replying to all of our messages and everything was ready for a self check-in when we arrived. Being that we flew into Denver well after midnight on a weeknight it was awesome that self check in is an option. There's a lot of privacy to the space and you can come and go freely as the private entrance is literally at the front of the house and let's out directly to the sidewalk. Overall this is a great location and transportation options are wide open. A Lyft ride to anywhere you'd like to go (downtown, stadiums, suburbs, museums etc) is ~$15-20 or less and the rail station is less than 2 blocks away and across no major streets. The location feels like it's in the heart of the city without making you pay a premium for it."
4051568,54138068,2015-11-16,10024384,Isabel,"I wish there was a 4.5 star option as that's what I'd give our experience at staying at Alyssa's place.

We were 3 people staying at her place and it was very comfortable. The bathrooms were all very big in size and really liked what they did with the space, especially the main floor where the living room, dining room and kitchen were - incredibly spacious.

The location was really good too. An uber to downtown was less than $10 one-way and there's an area with lots of restaurants. There is a Safeway close by as well.

The 1/2 star is primarily because it took a few trials to get in the first night and it was approximately 11pm. But luckily Alyssa was very flexible and available and tended to our needs right away. I was impressed at how quickly she responded to our text messages. The TV was also a bit difficult to figure out with the Apple TV vs Cable vs DVD player so in the end we hooked up our laptop to the TV and streamed it that way. 

So in all in all, the stay was more than satisfactory. The tech challenges we overcame easily they were not hindrances at all. 

We would stay at this place again and highly recommend it."
15344781,277593238,2018-06-16,23752448,Tohmas,Was exactly as stated. Very nice person
26685719,367821128,2019-01-05,109045900,Michael,Excellent host and will definitely recommend friends and family.
6333040,50901549,2015-10-15,39064702,Sloane,Micks Home could not have been more welcoming and comforting. He has thought of everything to make this pretty little studio comfortable for his guests. The entire property was gorgeous. I will hopefully be staying here again here soon! 
8721578,58936054,2016-01-05,50386928,Nicholas,"Stephanies place was great value for money, intimate and homely.she made an effort to make my stay enjoyable and was always up for good conversation.accommodation was clean and as described, located on the suburbs but only ten minutes drive to downtown, very close to local restaurants.half hour or so to boulder which is great."
14728998,192055611,2017-09-09,50329143,Nick,"This place was perfect and super close to shops, downtown, and everything else.  It had everything we needed and more. The robs were an awesome touch and especially with the jacuzzi. Would definitely book again! Steven and his wife were great, especially for accommodating us for an earlier check-in than we thought. They were awesome!"
31089043,515313813,2019-08-22,268195899,Cynthia,The apartment was very comfortable and in a convenient area of Denver. I appreciate the quick responses to questions via email!
34344291,541070845,2019-10-04,94007726,Kourtney,"Conveniently located, very trendy, and comfortable! Great place to stay in Denver before heading out of town or while visiting locally! Would book again!"
15436226,170117907,2017-07-14,67955615,James,Beautiful place to stay and experience Denver. 
16548314,268692096,2018-05-25,32079480,Zachary,"Book this place! The location is great, the space is gorgeous, and the hosts are extremely responsive. We can’t wait to return to Denver and book this place again :D"
9471950,530427581,2019-09-15,76557074,Nicholas,Great place. Loved the karma house feature. Fridge and 420 shelf was already stocked upon arrival. Don't break the chain
23642743,267741217,2018-05-22,55164999,Catherine,"Perfect place for a layover. Space was very clean, easy to find and across the street from a morning coffee. Nice quiet neighborhood. Thanks Jim!"
16065774,165383611,2017-07-01,16307170,Paul,Really nice place! Thanks so much for being awesome hosts!
38522086,562250533,2019-11-10,168227570,Jessica,Heather is amazing. She is quick to respond if you have a question or an issue. We were a little worried about not being able to control the temperature but we asked her to adjust it and it was perfect the rest of the week. This is a great place if you’re staying longer than a couple of days. Perfect if you want to cook most of your meals. Amazing value and very centralized to everything in Denver. 100% will use again if we make it back to Colorado!
8474753,131748900,2017-02-13,101289971,Kennedy,"The set up was great and everything was very nice and clean. The only thing to be aware of is that you cannot roll your luggage from the front of the house to the back, so if you have large bags like me, be prepared to carry them. "
13081152,536871220,2019-09-27,229930737,Stephen,"Stay was as expected, bathroom could use some work though. Overall a great stay."
20695085,531521175,2019-09-17,126170316,Stephanie,"Megan is so incredibly gracious and inviting! If you love to work out, check out her Barre class on site! The apartment was sparkling clean, has everything that you need and a super comfy bed, which is so important when we travel. We will most definitely stay with Megan our next trip to Denver! It’s also right across the street from the pool, play ground and park area. Such a beautiful place!"
21037776,302564277,2018-08-05,98832961,Tara,Great place to stay in Denver...
90307,3036596,2012-12-06,748115,Christine,"Doreen and Shane were lovely hosts, accommodating, interesting, friendly. Their home was charming and conveniently located near where I was working. My room had an enormous, comfy bed, views of the pretty back and side yard. The bathroom was immaculate with a great shower and a big cushy towel.  They have a very sweet dog and a cat. Both were home while I was there and they did everything possible to make my stay comfortable. Doreen even loaned me her bike for the day so I could get to some appointments. They offered coffee and breakfast, fast wifi and as I mentioned, stimulating conversation. I highly recommend them as airbnb hosts. "
21803491,246639890,2018-03-25,118569849,Senica,"Great location, outstanding accommodation and Leon  was an amazing host. Everything was perfect. Thank you."
22231253,279471299,2018-06-20,159846810,Melissa,"Very reasonably priced, very beautiful home and AMAZING hosts. This is where you should stay!"
1959836,40577406,2015-08-01,1392055,Helen,I had a wonderful time at Anne and Anna's home. It felt like staying with very good friends :)
22552157,425243969,2019-03-17,249282358,Desmond,"Great house, everything clean above standard."
7584529,470970077,2019-06-16,163580961,Erika,"Highly recommend this place for anyone traveling solo or with a partner. Super nice, private space about a 10-15 minute ride from all the action. Amy was a great host and provided a lot of little extras, including local tips and recommendations, that made the stay extra comfortable and fun!"
