,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,y,education_bucket
0,56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261,0,basic
1,57,services,married,high.school,,no,no,telephone,may,mon,149,0,intermediate
2,37,services,married,high.school,no,yes,no,telephone,may,mon,226,0,intermediate
3,40,admin.,married,basic.6y,no,no,no,telephone,may,mon,151,0,basic
4,56,services,married,high.school,no,no,yes,telephone,may,mon,307,0,intermediate
5,45,services,married,basic.9y,,no,no,telephone,may,mon,198,0,basic
6,59,admin.,married,professional.course,no,no,no,telephone,may,mon,139,0,advanced
7,41,blue-collar,married,,,no,no,telephone,may,mon,217,0,
8,24,technician,single,professional.course,no,yes,no,telephone,may,mon,380,0,advanced
9,25,services,single,high.school,no,yes,no,telephone,may,mon,50,0,intermediate
10,41,blue-collar,married,,,no,no,telephone,may,mon,55,0,
11,25,services,single,high.school,no,yes,no,telephone,may,mon,222,0,intermediate
12,29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137,0,intermediate
13,57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,293,0,basic
14,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,146,0,basic
15,54,retired,married,basic.9y,,yes,yes,telephone,may,mon,174,0,basic
16,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,312,0,basic
17,46,blue-collar,married,basic.6y,,yes,yes,telephone,may,mon,440,0,basic
18,50,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,353,0,basic
19,39,management,single,basic.9y,,no,no,telephone,may,mon,195,0,basic
20,30,unemployed,married,high.school,no,no,no,telephone,may,mon,38,0,intermediate
21,55,blue-collar,married,basic.4y,,yes,no,telephone,may,mon,262,0,basic
22,55,retired,single,high.school,no,yes,no,telephone,may,mon,342,0,intermediate
23,41,technician,single,high.school,no,yes,no,telephone,may,mon,181,0,intermediate
24,37,admin.,married,high.school,no,yes,no,telephone,may,mon,172,0,intermediate
25,35,technician,married,university.degree,no,no,yes,telephone,may,mon,99,0,advanced
26,59,technician,married,,no,yes,no,telephone,may,mon,93,0,
27,39,self-employed,married,basic.9y,,no,no,telephone,may,mon,233,0,basic
28,54,technician,single,university.degree,,no,no,telephone,may,mon,255,0,advanced
29,55,,married,university.degree,,,,telephone,may,mon,362,0,advanced
30,46,admin.,married,,no,no,no,telephone,may,mon,348,0,
31,59,technician,married,,no,yes,no,telephone,may,mon,386,0,
32,49,blue-collar,married,,no,no,no,telephone,may,mon,73,0,
33,54,management,married,basic.4y,,yes,no,telephone,may,mon,230,0,basic
34,54,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,208,0,basic
35,55,,married,basic.4y,,yes,no,telephone,may,mon,336,0,basic
36,34,services,married,high.school,no,no,no,telephone,may,mon,365,0,intermediate
37,52,technician,married,basic.9y,no,yes,no,telephone,may,mon,1666,0,basic
38,41,admin.,married,university.degree,no,yes,no,telephone,may,mon,577,0,advanced
39,56,technician,married,basic.4y,no,yes,no,telephone,may,mon,137,0,basic
40,58,management,,university.degree,no,yes,no,telephone,may,mon,366,0,advanced
41,32,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,314,0,intermediate
42,38,admin.,single,professional.course,no,no,no,telephone,may,mon,160,0,advanced
43,57,admin.,married,university.degree,no,no,yes,telephone,may,mon,212,0,advanced
44,44,admin.,married,university.degree,,yes,no,telephone,may,mon,188,0,advanced
45,42,technician,single,professional.course,,no,no,telephone,may,mon,22,0,advanced
46,57,admin.,married,university.degree,no,yes,yes,telephone,may,mon,616,0,advanced
47,40,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,178,0,basic
48,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,355,0,advanced
49,45,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,225,0,basic
50,54,admin.,married,high.school,no,no,no,telephone,may,mon,160,0,intermediate
51,39,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,266,0,basic
52,60,admin.,married,high.school,no,no,no,telephone,may,mon,253,0,intermediate
53,53,admin.,single,professional.course,no,no,no,telephone,may,mon,179,0,advanced
54,55,blue-collar,married,basic.4y,,no,no,telephone,may,mon,269,0,basic
55,55,technician,married,professional.course,,yes,no,telephone,may,mon,135,0,advanced
56,50,management,married,university.degree,,no,yes,telephone,may,mon,161,0,advanced
57,45,services,married,high.school,,yes,no,telephone,may,mon,787,0,intermediate
58,55,unemployed,married,professional.course,,yes,yes,telephone,may,mon,145,0,advanced
59,25,technician,single,university.degree,no,yes,no,telephone,may,mon,174,0,advanced
60,47,entrepreneur,married,university.degree,,no,no,telephone,may,mon,449,0,advanced
61,51,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,812,0,basic
62,42,blue-collar,married,basic.6y,,yes,no,telephone,may,mon,164,0,basic
63,42,blue-collar,married,basic.6y,,no,no,telephone,may,mon,366,0,basic
64,48,admin.,married,high.school,no,no,no,telephone,may,mon,357,0,intermediate
65,37,admin.,married,university.degree,no,no,no,telephone,may,mon,232,0,advanced
66,44,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,91,0,basic
67,33,admin.,married,,no,yes,no,telephone,may,mon,273,0,
68,56,admin.,married,basic.9y,no,yes,no,telephone,may,mon,158,0,basic
69,44,blue-collar,single,basic.4y,,yes,yes,telephone,may,mon,177,0,basic
70,41,management,married,basic.6y,no,no,no,telephone,may,mon,200,0,basic
71,44,management,divorced,university.degree,no,yes,no,telephone,may,mon,172,0,advanced
72,47,admin.,married,university.degree,,yes,no,telephone,may,mon,176,0,advanced
73,57,,married,,,no,no,telephone,may,mon,211,0,
74,37,admin.,married,university.degree,,yes,no,telephone,may,mon,214,0,advanced
75,41,blue-collar,divorced,basic.4y,,yes,no,telephone,may,mon,1575,1,basic
76,55,technician,married,university.degree,no,no,no,telephone,may,mon,349,0,advanced
77,33,services,married,high.school,,yes,no,telephone,may,mon,337,0,intermediate
78,55,management,married,,,yes,no,telephone,may,mon,272,0,
79,42,blue-collar,married,basic.9y,,no,no,telephone,may,mon,208,0,basic
80,50,blue-collar,married,basic.4y,,yes,no,telephone,may,mon,193,0,basic
81,51,blue-collar,married,basic.4y,,,,telephone,may,mon,212,0,basic
82,38,admin.,married,high.school,,no,no,telephone,may,mon,165,0,intermediate
83,49,entrepreneur,married,university.degree,,yes,no,telephone,may,mon,1042,1,advanced
84,38,technician,single,university.degree,no,no,yes,telephone,may,mon,20,0,advanced
85,31,admin.,divorced,high.school,no,no,no,telephone,may,mon,246,0,intermediate
86,41,management,married,basic.6y,no,no,no,telephone,may,mon,529,0,basic
87,39,admin.,married,university.degree,no,yes,yes,telephone,may,mon,192,0,advanced
