,listing_id,id,date,reviewer_id,reviewer_name,comments
107377,15744244,512758440,2019-08-18,56732894,Joe,"Jeremy was an outstanding host. He answered all questions I had and was very accommodating with my early check in request. The house was clean, stylish and backyard was perfect."
128173,18179045,357579709,2018-12-10,4255566,Patrick And Stacie,"Nancy and Andre were great hosts!! Wonderful space, great for a couple or small family. Can't beat the location, close to so many great areas in Denver."
68306,10494162,92054759,2016-08-07,45744908,Erika,I had such an amazing time in this cute little guest house. Wes is such a wonderful host! The place was in a great location right outside downtown and biking distance to a lot of great bars and shops. The guest house has everything you need and it was so cute and tidy. I definitely won't stay anywhere else when I visit Denver! 
11580,1557739,186465066,2017-08-24,58411728,Nick,Great spot to crash in Denver
102469,15174189,185844453,2017-08-22,132199514,Cameron,Had a great time. Very friendly host and very friendly pets!
199866,26351023,460987106,2019-05-30,76130657,Jay,"Great apartment, really clean. Nice touches. Plenty of street parking."
81432,12990793,271941337,2018-06-02,184456621,Alex, Very homey and a lot of snacks and extra towels.  The hot water was in abundance so the baths were very nice.
204014,27267232,556133858,2019-10-28,44023474,Heather,Sherree is a fantastic host - full of helpful tips with a very stylish and well appointed space for our family - close to the science museum and zoo for our kids! We’d love to stay again the next time we are in Denver!
122464,17316601,470834738,2019-06-16,7917640,Jason,"Great place for a great price. Check-in process was very simple and the room was very spacious. Excellent location, walking distance from Broadway which has a ton of shops and restaurants. Dorothy and Ruby were great hosts, they were polite, gave great advice and was also super respectful of our space. Would definitely stay again."
40088,6436594,403744459,2019-01-21,159457483,Jasmin,Great location! Walking distance from a lot of cool places in Downtown Denver and a short drive from many others.
70455,11123088,79026426,2016-06-10,1348648,Mark,"Sean was responsive and welcoming.  The house was well-equipped, clean, and in a convenient and quiet neighborhood.  "
174477,23034653,538296258,2019-09-29,104045740,Trevor,Nice place. Not the best part of town. Upstairs is also an airbnb so you may notice some noise.
229814,32665370,491719534,2019-07-20,43523134,Blessing,Very clean and modern space! Close to train to get into city center
190318,24852135,307144643,2018-08-13,136756981,Martha,"Michaels place was just what we hoped for. Great location, very clean and nicely decorated, comfortable beds, helpful tips  about the area. Michael replied quickly to any questions. Would not hesitate to stay here again.  "
229640,32647025,435839787,2019-04-11,83728703,Brenda,"Beautiful home, gorgeous decor, really lovely neighborhood and gracious host. Everything you could ask for. Also great to find somewhere budget friendly for the solo traveler."
